name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Bullera unica::Papiliotrema bandonii::Dioszegia buhagiarii::Dioszegia fristingensis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hypocrea rufa::Hypocrea sp,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Penicillium expansum::Eupenicillium crustaceum::Penicillium camemberti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cryptococcus vishniacii::Cryptococcus sp,0,0,0,0,0,0,742,0,0,0,0,0,632,0,0,0,0,0
Chromocleista malachitea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rhodotorula armeniaca,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Derxomyces simaoensis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Torrubiella luteorostrata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Fusarium oxysporum::Myrothecium roridum::Myrothecium verrucaria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umbelopsis sp,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Bullera unica::Papiliotrema bandonii,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Bullera unica::Dioszegia buhagiarii::Dioszegia fristingensis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Calycellinopsis xishuangbanna,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hypocrea rufa::Hypocrea koningii::Hypocrea lixii,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
Cryptosphaeria eunomia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mortierella sp,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrakiella aquatica::Mrakia frigida,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mortierella verticillata,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umbelopsis ramanniana,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sagenomella humicola::Talaromyces byssochlamydoides::Hypocrea rufa,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Derxomyces komagatae::Bullera sp::Derxomyces pseudoschimicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Derxomyces boekhoutii::Derxomyces pseudocylindrica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Isaria javanica::Verticillium leptobactrum,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sagenomella humicola::Talaromyces byssochlamydoides::Phialosimplex chlamydosporus,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Derxomyces mrakii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ophionectria trichospora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortierella indohii::Mortierella sp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrea rufa::Hypocrea koningii::Myrothecium cinctum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Custingophora olivacea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nectria mariannaeae::Ophionectria trichospora,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mrakiella aquatica,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Melanoporia nigra,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Bullera taiwanensis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Penicillium commune::Byssochlamys nivea::Thermoascus crustaceus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichosporon porosum::Trichosporon sp::Bullera nakhonratchasimensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nilaparvata lugens,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Donkioporia expansa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Umbelopsis isabellina::Umbelopsis sp::Umbelopsis ramanniana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrea rufa::Hypocrea lixii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mortierella fimbricystis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptococcus aerius::Cryptococcus sp::Cryptococcus vishniacii,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
